,0
160,0.18145761031234486
154,0.18194348725017218
32,0.16489088575096278
39,0.1648996302165875
30,0.16536913983145252
45,0.1650474185386206
33,0.16567642956764317
153,0.184722222222222
155,0.18485875706214694
156,0.18495812667696576
157,0.18495812667696576
159,0.18495812667696576
158,0.18495812667696576
31,0.17164941785252275
37,0.1722112802148612
35,0.1722112802148612
34,0.1722438975590237
38,0.1722112802148612
36,0.1722112802148612
41,0.17265881738449163
42,0.17265881738449163
43,0.17265881738449163
44,0.17265881738449163
40,0.1726940924408651
192,0.16073099761504994
193,0.16073099761504994
74,0.17053845152279168
29,0.16996602042889886
152,0.17380963670803617
191,0.2834369609691523
130,0.14603709338549575
124,0.1466030680293713
122,0.1468538021813255
139,0.05618592080991802
140,0.05618592080991802
135,0.1478908653887132
126,0.15186215857194107
127,0.15186215857194107
128,0.15186215857194107
129,0.15186215857194107
134,0.1515349872357139
131,0.1515349872357139
132,0.1515349872357139
133,0.1515349872357139
125,0.15134257065779666
123,0.15145753560021902
75,0.2952103036865712
184,0.25309623482938104
177,0.2534084711870568
186,0.2532316054014405
183,0.25593205498642857
70,0.15339347182922602
60,0.1552752966672435
54,0.15546993743593363
66,0.15510459251766617
68,0.15680498040632562
179,0.2605628407625422
180,0.2605628407625422
182,0.2605628407625422
181,0.2605628407625422
178,0.26086956521739113
189,0.26131835943745574
190,0.26131835943745574
187,0.26131835943745574
188,0.26131835943745574
185,0.26161561312166604
102,0.27205857637449427
101,0.27205857637449427
67,0.16557941216394267
69,0.16631025416301504
55,0.16704189146042947
57,0.16625932858695913
59,0.16625932858695913
65,0.16626927356541077
62,0.16626927356541077
63,0.16626927356541077
56,0.16625932858695913
64,0.16626927356541077
58,0.16625932858695913
61,0.1665673823083218
121,0.11837194763862313
1,0.19266258649004508
136,0.19103313840155955
137,0.1936685288640596
49,0.17255375422212005
71,0.18039215686274512
72,0.18336483931947067
87,0.19116273577309983
89,0.19226428792202466
77,0.19251483148903947
138,0.19953730480046272
6,0.1815558229504739
73,0.1902408894379246
105,0.1892468216210652
19,0.20866403932769417
24,0.17198316585072582
76,0.1973800723800725
86,0.1987268683371497
167,0.17518676627534702
173,0.175419213866588
161,0.17521714251552245
91,0.17522288176380263
90,0.17522288176380263
104,0.17574862970570937
103,0.17574862970570937
46,0.23095501077152458
176,0.17802113352545623
53,0.17800180917920394
52,0.17800180917920394
3,0.2180704964729936
142,0.17958319375986975
148,0.17967164112516465
88,0.20346205059920108
84,0.20490290350033713
85,0.20490290350033713
83,0.20490290350033713
174,0.18518100890207712
175,0.18563817465832755
170,0.18666510639830047
171,0.18666510639830047
172,0.18666510639830047
169,0.18666510639830047
163,0.186265998756467
164,0.186265998756467
165,0.186265998756467
166,0.186265998756467
144,0.18581274471641507
168,0.18551950511299076
162,0.18588269794721413
143,0.18641728207605768
194,0.1876547382652416
7,0.19221482529060752
8,0.19221482529060752
2,0.19061919977156028
145,0.19174099386076682
146,0.19174099386076682
147,0.19174099386076682
149,0.19210923735212693
98,0.19106214689265544
16,0.189055682409061
97,0.19187500000000002
15,0.18998631683029887
99,0.19403055229142185
195,0.1964835820895523
197,0.1966880296960123
196,0.1966880296960123
198,0.1966880296960123
199,0.1966880296960123
17,0.1925452193228696
20,0.1951642129105322
100,0.19637002341920384
92,0.19739055793991422
9,0.19557771902227872
151,0.39071795018227173
150,0.39071795018227173
94,0.19770071987726667
95,0.19770071987726667
96,0.19770071987726667
93,0.19770071987726667
50,0.1920045406841011
51,0.1920045406841011
10,0.19712917683331477
13,0.19735878214970248
14,0.19735878214970248
11,0.19735878214970248
12,0.19735878214970248
21,0.20227772900556795
28,0.17174443179970744
27,0.23094825514476147
26,0.23094825514476147
48,0.2823575408073502
5,0.2915032245196463
18,0.3171987739638662
25,0.28056400266083825
47,0.33761796870818706
4,0.32741505931724624
120,0.3779173112214993
119,0.3779173112214993
118,0.3779173112214993
141,0.41853494473668484
117,0.4425032175032175
0,0.3030330191068902
111,0.626797385620915
113,0.6267898253691953
114,0.6271092230118711
116,0.6327586206896554
115,0.6455525381936924
112,0.6458709189315022
106,0.6465051071500099
107,0.6461011944705406
108,0.6461011944705406
109,0.6461011944705406
110,0.6461011944705406
22,0.13477220956719838
23,0.075236559139785
78,0.107924100821297
79,0.11006645950053318
80,0.11242845461978734
81,0.11242845461978734
82,0.11242845461978734
