Symbol,Name,Last,"YTD %Change","1-Month %Change","3-Month %Change","52-Week %Change","52-Week High","52-Week Low"
TDB3483.CF,"TD Dividend Growth Fund - Ft5 Series - NL",15.76,-0.0476,-0.034,-0.0257,0.0069,17.935,15.5248
TDB972.CF,"TD Dividend Growth Fund - Investor Series - NL",102.34,-0.0559,-0.0349,-0.0286,-0.0045,117.1775,101.1003
TDB121.CF,"TD Dividend Growth Fund - Advisor Series - Lsc2",37.1675,-0.0559,-0.0349,-0.0286,-0.0044,42.5542,36.7162
TDB756.CF,"TD Dividend Growth Fund - Advisor Series - ISC",37.1675,-0.0559,-0.0349,-0.0286,-0.0044,42.5542,36.7162
TDB776.CF,"TD Dividend Growth Fund - Advisor Series - DSC",37.1675,-0.0559,-0.0349,-0.0286,-0.0044,42.5542,36.7162
TDB796.CF,"TD Dividend Growth Fund - Advisor Series - Lsc",37.1675,-0.0559,-0.0349,-0.0286,-0.0044,42.5542,36.7162
TDB856.CF,"TD Dividend Growth Fund - F Series - NL",38.75,-0.0476,-0.0341,-0.0259,0.007,44.1031,38.1814
TDB298.CF,"TD Dividend Growth Fund H8 Series - NL",9.65,-0.0565,-0.0345,-0.0285,-0.0047,11.0469,9.532
TDB097.CF,"TD Dividend Growth Fund T8 Series - FE",9.5424,-0.0562,-0.0349,-0.0287,-0.005,10.9296,9.427
TDB098.CF,"TD Dividend Growth Fund T8 Series - DSC",9.5424,-0.0562,-0.0349,-0.0287,-0.005,10.9296,9.427
TDB099.CF,"TD Dividend Growth Fund T8 Series - Lsc",9.5424,-0.0562,-0.0349,-0.0287,-0.005,10.9296,9.427
TDB100.CF,"TD Dividend Growth Fund T8 Series - Lsc2",9.5424,-0.0562,-0.0349,-0.0287,-0.005,10.9296,9.427
TDB299.CF,"TD Dividend Growth Fund Ft8 Series - NL",10.74,-0.0483,-0.0348,-0.0264,0.0063,12.233,10.5909
RBF657.CF,"RBC Select Conservative Portfolio Series F - NL",21.493,-0.136,-0.025,-0.018,-0.1089,24.9598,21.3971
RBF5516.CF,"RBC Select Conservative Portfolio Series F U$ -",15.6455,-0.2048,-0.0693,-0.0724,-0.1862,19.8623,15.5452
TDB2443.CF,"TD Comfort Balanced Portfolio F - NL",10.32,-0.1393,-0.0246,-0.0181,-0.1011,12.04,10.28
TDB3539.CF,"TD Comfort Balanced Portfolio D Series - NL",10.71,-0.1411,-0.0246,-0.0183,-0.1032,12.52,10.68
TDB886.CF,"TD Comfort Balanced Portfolio Inv - NL",16.39,-0.1459,-0.0256,-0.0209,-0.1094,19.27,16.36
TDB3481.CF,"TD Tactical Monthly Income Fund - Ft5 Series - N",14.44,-0.1213,-0.0293,-0.0096,-0.0676,16.5001,14.3327
TDB2580.CF,"TD Tactical Monthly Income Fund - Investor Ser -",12.44,-0.1291,-0.0296,-0.0129,-0.0787,14.3429,12.3842
TDB2581.CF,"TD Tactical Monthly Income Fund Adv-ISc",12.4539,-0.1293,-0.0298,-0.0126,-0.0782,14.3556,12.3952
TDB2582.CF,"TD Tactical Monthly Income Fund Adv-DSC",12.4539,-0.1293,-0.0298,-0.0126,-0.0782,14.3556,12.3952
TDB2583.CF,"TD Tactical Monthly Income Fund Adv - Lsc",12.4539,-0.1293,-0.0298,-0.0126,-0.0782,14.3556,12.3952
