Symbol,Name,Last,"YTD %Change","1-Month %Change","3-Month %Change","52-Week %Change","52-Week High","52-Week Low"
TDB2593.CF,"TD Tactical Monthly Income Fund -Premium NL",11.71,-0.1222,-0.0019,-0.0142,-0.0909,13.3893,11.48
TDB2594.CF,"TD Tactical Monthly Income Fund-Prem F NL",12.73,-0.1126,0,-0.011,-0.0796,14.3944,12.48
TDB2580.CF,"TD Tactical Monthly Income Fund - Investor Ser -",12.54,-0.1221,-0.0016,-0.0142,-0.0921,14.3429,12.29
TDB2581.CF,"TD Tactical Monthly Income Fund Adv-ISc",12.5527,-0.1224,-0.0016,-0.0143,-0.0918,14.3556,12.309
TDB2582.CF,"TD Tactical Monthly Income Fund Adv-DSC",12.5527,-0.1224,-0.0016,-0.0143,-0.0918,14.3556,12.309
TDB2583.CF,"TD Tactical Monthly Income Fund Adv - Lsc",12.5527,-0.1224,-0.0016,-0.0143,-0.0918,14.3556,12.309
TDB2584.CF,"TD Tactical Monthly Income Fund Adv- Lsc2",12.5527,-0.1224,-0.0016,-0.0143,-0.0918,14.3556,12.309
TDB2585.CF,"TD Tactical Monthly Income Fund F Series - NL",13.64,-0.1136,-0.0005,-0.011,-0.0806,15.4461,13.37
TDB2586.CF,"TD Tactical Monthly Income Fund H8 Series - NL",13.05,-0.1221,-0.001,-0.0139,-0.0921,14.9204,12.79
TDB2587.CF,"TD Tactical Monthly Income Fund T8 Series - ISC",13.0348,-0.1224,-0.0016,-0.0142,-0.092,14.9072,12.7819
TDB2588.CF,"TD Tactical Monthly Income Fund T8 Series - DSC",13.0348,-0.1224,-0.0016,-0.0142,-0.092,14.9072,12.7819
TDB2589.CF,"TD Tactical Monthly Income Fund T8 Series - Lsc",13.0348,-0.1224,-0.0016,-0.0142,-0.092,14.9072,12.7819
TDB2590.CF,"TD Tactical Monthly Income Fund T8 Series - Lsc2",13.0348,-0.1224,-0.0016,-0.0142,-0.092,14.9072,12.7819
TDB2591.CF,"TD Tactical Monthly Income Fund Ft8 Series - NL",14.75,-0.1139,-0.0007,-0.0111,-0.0806,16.7028,14.46
CIG16194.CF,"CI Global Income & Growth Fund Class E",13.7055,-0.1534,-0.005,-0.0262,-0.1173,16.364,13.5974
CIG18194.CF,"CI Global Income & Growth Fund Class O",14.2459,-0.1394,-0.0033,-0.0211,-0.0991,16.7289,14.0312
CIG1111.CF,"CI Global Income & Growth Fund Class A",9.1605,-0.1552,-0.0052,-0.0268,-0.1195,10.9601,9.0962
CIG2111.CF,"CI Global Income & Growth Fund Class A",9.1605,-0.1552,-0.0052,-0.0268,-0.1195,10.9601,9.0962
CIG3111.CF,"CI Global Income & Growth Fund Class A",9.1605,-0.1552,-0.0052,-0.0268,-0.1195,10.9601,9.0962
CIG4111.CF,"CI Global Income & Growth Fund Class F",9.2923,-0.1475,-0.0043,-0.024,-0.1096,11.0173,9.1908
CIG5111.CF,"CI Global Income & Growth Fund Class I",9.5447,-0.1381,-0.0032,-0.0207,-0.0975,11.1918,9.3957
CIG90944.CF,"CI Global Income & Growth Fund Series Pp",9.0133,,-0.0033,-0.021,,9.8355,8.8774
CIG4944.CF,"CI Global Income & Growth Fund Series Y",8.9687,,-0.0042,-0.0236,,9.8414,8.8657
CIG1944.CF,"CI Global Income & Growth Fund Series Z",8.9193,,-0.0051,-0.0264,,9.8473,8.8521
CIG2944.CF,"CI Global Income & Growth Fund Series Z",8.9193,,-0.0051,-0.0264,,9.8473,8.8521
CIG3944.CF,"CI Global Income & Growth Fund Series Z",8.9193,,-0.0051,-0.0264,,9.8473,8.8521
CIG15194.CF,"CI Global Income & Growth Fund Class Ef",10.5876,-0.1458,-0.0041,-0.0234,-0.1075,12.5281,10.4629
CIG90167.CF,"CI Global Income & Growth Fund Class P",9.7356,-0.1398,-0.0034,-0.0212,-0.0996,11.4378,9.5914
PHN345.CF,"PH&N Total Return Bond Fund Series O",9.7282,-0.1443,-0.0416,-0.0537,-0.1251,11.3903,9.6877
RBF8345.CF,"PH&N Total Return Bond Fund Series O",9.7282,-0.1443,-0.0416,-0.0537,-0.1251,11.3903,9.6877
RBF405.CF,"RBC Canadian Dividend Fund Series A U$ - NL",64.1195,-0.1235,0.0062,-0.0652,-0.1315,79.1832,61.1354
RBF266.CF,"RBC Canadian Dividend Fund Series A - NL",87.9271,-0.0494,0.0151,-0.0075,-0.0371,98.8906,84.483
PHN385.CF,"PH&N U.S. Multi-Style All-Cap Equity Fund O - NL",19.7713,-0.1143,0.0511,0.0297,-0.0481,22.7065,17.8502
RBF8385.CF,"PH&N U.S. Multi-Style All-Cap Equity Fund O - NL",19.7713,-0.1143,0.0511,0.0297,-0.0481,22.7065,17.8502
TDB3549.CF,"TD U.S. Blue Chip Equity Fund H8 Series - NL",13.58,-0.3066,0.0128,-0.0274,-0.2966,20.5449,12.5907
TDB3554.CF,"TD U.S. Blue Chip Equity Fund Ft5 Series - NL",15.94,-0.2995,0.014,-0.0239,-0.2878,23.8348,14.7153
TDB3555.CF,"TD U.S. Blue Chip Equity Fund Ft8 Series - NL",14.21,-0.2995,0.0141,-0.024,-0.2881,21.2587,13.1232
TDB3550.CF,"TD U.S. Blue Chip Equity Fund T8 Series - ISC",13.5574,-0.3062,0.013,-0.0269,-0.2964,20.5026,12.5655
TDB977.CF,"TD U.S. Blue Chip Equity Fund - Investor Ser - N",55.21,-0.3064,0.013,-0.0271,-0.2967,83.52,51.18
TDB123.CF,"TD U.S. Blue Chip Equity Fund - Lsc2",24.7117,-0.3063,0.013,-0.0272,-0.2967,37.3788,22.9076
TDB310.CF,"TD U.S. Blue Chip Equity Fund - FE",24.7117,-0.3063,0.013,-0.0272,-0.2967,37.3788,22.9076
TDB340.CF,"TD U.S. Blue Chip Equity Fund - DSC",24.7117,-0.3063,0.013,-0.0272,-0.2967,37.3788,22.9076
TDB370.CF,"TD U.S. Blue Chip Equity Fund - LL",24.7117,-0.3063,0.013,-0.0272,-0.2967,37.3788,22.9076
TDB410.CF,"TD U.S. Blue Chip Equity Fund Series F - NL",33.82,-0.2991,0.0141,-0.024,-0.2874,50.55,31.21
TDB3091.CF,"TD U.S. Blue Chip Equity Fund - D",19.23,-0.3012,0.0142,-0.0244,-0.2907,28.85,17.76
FID2204.CF,"Fidelity Global Balanced Portfolio Series B - Is",13.8209,-0.1391,0.0104,-0.0042,-0.1281,16.2853,13.5997
IGI156.CF,"Iprofile Fixed Income Private Pool Series I - NL",10.5742,-0.1033,-0.024,-0.0393,-0.0935,11.8071,10.5574
RBF8417.CF,"RBC Global Equity Focus Fund Series O U$ - NL",16.1159,-0.2791,0.0168,-0.0673,-0.2663,22.7981,15.54
PHN8077.CF,"RBC Global Equity Focus Fund Series O",22.0997,-0.2182,0.0256,-0.0098,-0.1866,28.6819,20.8154
PHN9077.CF,"RBC Global Equity Focus Fund Series O",22.0997,-0.2182,0.0256,-0.0098,-0.1866,28.6819,20.8154
RBF8077.CF,"RBC Global Equity Focus Fund Series O - NL",22.0997,-0.2182,0.0256,-0.0098,-0.1866,28.6819,20.8154
PHN255.CF,"PH&N Short Term Bond & Mortgage Series O - NL",9.3635,-0.0486,-0.009,-0.0155,-0.0469,9.8483,9.3244
RBF8255.CF,"PH&N Short Term Bond & Mortgage Series O - NL",9.3635,-0.0486,-0.009,-0.0155,-0.0469,9.8483,9.3244
