,Unnamed: 0,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Assets Under Management,Time,Risk,Size,Percentile,Volatility
145,145,DJT03006.CF,Desjardins Canadian Bond Fund C Class - FE,8.881,-0.1373,-0.0186,-0.0115,-0.1253,10.3157,8.7548,-0.029,-0.00325477,"6,854 M",10/7/2022,low,small,None,0.178290766
146,146,DJT03206.CF,Desjardins Canadian Bond Fund C Class - DSC,8.881,-0.1373,-0.0186,-0.0115,-0.1253,10.3157,8.7548,-0.029,-0.00325477,"6,854 M",10/7/2022,low,small,None,0.178290766
147,147,DJT03406.CF,Desjardins Canadian Bond Fund C Class - LL,8.881,-0.1373,-0.0186,-0.0115,-0.1253,10.3157,8.7548,-0.029,-0.00325477,"6,854 M",10/7/2022,low,small,None,0.178290766
143,143,DJT00006.CF,Desjardins Canadian Bond Fund A Class - NL,4.904,-0.1376,-0.0185,-0.0117,-0.1257,5.6984,4.835,-0.016,-0.003252033,"6,854 M",10/7/2022,low,small,None,0.178572906
33,33,TDB3081.CF,TD Canadian Bond Fund - D Series - NL,8.73,-0.1392,-0.0188,-0.0122,-0.1286,10.1612,8.6211,-0.03,-0.003424658,"11,313 M",10/7/2022,low,large,None,0.178643097
12,12,TDB2003.CF,TD Canadian Core Plus Bond Fund - Premium Ser -,9.23,-0.1398,-0.0172,-0.0126,-0.1291,10.7602,9.1288,-0.03,-0.003239741,"13,235 M",10/7/2022,low,large,None,0.17870914
11,11,TDB3040.CF,TD Canadian Core Plus Bond Fund - D Series - NL,8.44,-0.1383,-0.0164,-0.0111,-0.1268,9.8147,8.3261,-0.03,-0.003541913,"13,235 M",10/7/2022,low,large,None,0.178787187
35,35,TDB2002.CF,TD Canadian Bond Fund - Premium Series - NL,8.76,-0.1409,-0.0196,-0.0142,-0.1311,10.217,8.6629,-0.03,-0.003412969,"11,313 M",10/7/2022,low,large,None,0.1793972
27,27,TDB162.CF,TD Canadian Bond Fund - Investor Series - NL,11.95,-0.1415,-0.0196,-0.0148,-0.1319,13.9496,11.8249,-0.04,-0.003336113,"11,313 M",10/7/2022,low,large,None,0.179680166
28,28,TDB107.CF,TD Canadian Bond Fund - Advisor Series - Lsc2,10.4331,-0.1416,-0.0192,-0.0141,-0.1318,12.1787,10.3215,-0.0353,-0.003372053,"11,313 M",10/7/2022,low,large,None,0.179935087
29,29,TDB306.CF,TD Canadian Bond Fund - Advisor Series - FE,10.4331,-0.1416,-0.0192,-0.0141,-0.1318,12.1787,10.3215,-0.0353,-0.003372053,"11,313 M",10/7/2022,low,large,None,0.179935087
30,30,TDB336.CF,TD Canadian Bond Fund - Advisor Series - DSC,10.4331,-0.1416,-0.0192,-0.0141,-0.1318,12.1787,10.3215,-0.0353,-0.003372053,"11,313 M",10/7/2022,low,large,None,0.179935087
31,31,TDB366.CF,TD Canadian Bond Fund - Advisor Series - LL,10.4331,-0.1416,-0.0192,-0.0141,-0.1318,12.1787,10.3215,-0.0353,-0.003372053,"11,313 M",10/7/2022,low,large,None,0.179935087
13,13,TDB694.CF,TD Canadian Core Plus Bond Fund - Investor Ser -,10.08,-0.1413,-0.0178,-0.0126,-0.1308,11.7678,9.9703,-0.04,-0.003952569,"13,235 M",10/7/2022,low,large,None,0.180285448
14,14,TDB695.CF,TD Canadian Core Plus Bond Fund Advisor - ISC,10.2571,-0.1414,-0.0176,-0.0129,-0.1308,11.9745,10.1449,-0.0364,-0.003536212,"13,235 M",10/7/2022,low,large,None,0.180346775
15,15,TDB696.CF,TD Canadian Core Plus Bond Fund Advisor - DSC,10.2571,-0.1414,-0.0176,-0.0129,-0.1308,11.9745,10.1449,-0.0364,-0.003536212,"13,235 M",10/7/2022,low,large,None,0.180346775
16,16,TDB697.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc,10.2571,-0.1414,-0.0176,-0.0129,-0.1308,11.9745,10.1449,-0.0364,-0.003536212,"13,235 M",10/7/2022,low,large,None,0.180346775
17,17,TDB698.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc2,10.2571,-0.1414,-0.0176,-0.0129,-0.1308,11.9745,10.1449,-0.0364,-0.003536212,"13,235 M",10/7/2022,low,large,None,0.180346775
198,198,TDB408.CF,TD Canadian Equity Fund - F - NL,20.9,-0.0324,-0.0202,-0.0057,0.0376,23.83,20.17,-0.36,-0.016933208,"6,159 M",10/7/2022,medium,small,10%,0.18145761
6,6,PHN9071.CF,RBC Bond Fund Series O - NL,5.9534,-0.1375,-0.0186,-0.0091,-0.1222,6.9127,5.8491,-0.0215,-0.003598387,"21,061 M",10/7/2022,low,large,None,0.181839941
7,7,RBF137.CF,RBC Bond Fund Series O - NL,5.9534,-0.1375,-0.0186,-0.0091,-0.1222,6.9127,5.8491,-0.0215,-0.003598387,"21,061 M",10/7/2022,low,large,None,0.181839941
191,191,TDB3089.CF,TD Canadian Equity Fund - D - NL,15.04,-0.0334,-0.0196,-0.0053,0.0355,17.15,14.51,-0.25,-0.016350556,"6,159 M",10/7/2022,medium,small,10%,0.181943487
192,192,TDB2928.CF,TD Canadian Equity Fund - Premium Series,14.89,-0.04,-0.021,-0.008,0.0273,17.06,14.4,-0.26,-0.017161716,"6,159 M",10/7/2022,medium to high,small,10%,0.184722222
193,193,TDB161.CF,TD Canadian Equity Fund - Inv - NL,45.75,-0.0407,-0.021,-0.0082,0.0259,52.43,44.25,-0.78,-0.016763378,"6,159 M",10/7/2022,medium,small,10%,0.184858757
195,195,TDB308.CF,TD Canadian Equity Fund - Advisor Series - FE,19.0709,-0.0409,-0.021,-0.0084,0.0256,21.8607,18.4485,-0.3247,-0.01674091,"6,159 M",10/7/2022,medium,small,10%,0.184958127
197,197,TDB368.CF,TD Canadian Equity Fund - Advisor Series - LL,19.0709,-0.0409,-0.021,-0.0084,0.0256,21.8607,18.4485,-0.3247,-0.01674091,"6,159 M",10/7/2022,medium,small,10%,0.184958127
196,196,TDB338.CF,TD Canadian Equity Fund - Advisor Series - DSC,19.0709,-0.0409,-0.021,-0.0084,0.0256,21.8607,18.4485,-0.3247,-0.01674091,"6,159 M",10/7/2022,medium,small,10%,0.184958127
194,194,TDB117.CF,TD Canadian Equity Fund - Advisor Series - Lsc2,19.0709,-0.0409,-0.021,-0.0084,0.0256,21.8607,18.4485,-0.3247,-0.01674091,"6,159 M",10/7/2022,medium,small,10%,0.184958127
138,138,TDB2444.CF,TD Comfort Balanced Growth Portfolio F - NL,10.38,-0.1464,-0.0263,-0.0189,-0.1004,12.22,10.31,-0.15,-0.014245014,"7,433 M",10/7/2022,low to medium,small,None,0.185257032
137,137,TDB3540.CF,TD Comfort Balanced Growth Portfolio D Series -,10.86,-0.1482,-0.0269,-0.0199,-0.1033,12.82,10.8,-0.17,-0.015412511,"7,433 M",10/7/2022,low to medium,small,None,0.187037037
139,139,TDB887.CF,TD Comfort Balanced Growth Portfolio Inv - NL,17.48,-0.1527,-0.0273,-0.0218,-0.1089,20.74,17.42,-0.26,-0.014656144,"7,433 M",10/7/2022,low to medium,small,None,0.190585534
1,1,GWL3005.CF,GWL Agg Portfolio 75/75 (Ps1),21.4713,-0.1099,0.0284,-0.0444,-0.0712,24.1835,20.3117,0.1389,0.006511222,"114,256 M",7/28/2022,None,large,30%,0.1906192
86,86,CIG5111.CF,CI Global Income & Growth Fund Class I,9.5811,-0.1348,-0.0153,-0.0094,-0.0805,11.1918,9.3957,0.0134,0.001377835,"8,802 M",10/7/2022,low to medium,medium,None,0.191161914
95,95,CIG18194.CF,CI Global Income & Growth Fund Class O,14.3012,-0.136,-0.0154,-0.0098,-0.0821,16.7289,14.0312,0.02,0.001377724,"8,802 M",10/7/2022,low to medium,medium,None,0.192264382
93,93,CIG90167.CF,CI Global Income & Growth Fund Class P,9.7737,-0.1364,-0.0154,-0.0099,-0.0827,11.4378,9.5914,0.0136,0.001370816,"8,802 M",10/7/2022,low to medium,medium,None,0.192505786
0,0,CLGO002A.CF,GWL Agg Portfolio 75/75 (Ps1),20.9357,-0.1264,0.0012,0.0163,-0.0807,24.1835,20.2769,-0.0794,-0.003778236,"114,256 M",10/6/2022,None,large,30%,0.192662586
92,92,CIG15194.CF,CI Global Income & Growth Fund Class Ef,10.6333,-0.1422,-0.0161,-0.0121,-0.0906,12.5281,10.4629,0.0146,0.001352578,"8,802 M",10/7/2022,low to medium,medium,None,0.197383135
119,119,FID2204.CF,Fidelity Global Balanced Portfolio Series B - Is,13.816,-0.1394,-0.0103,0.0026,-0.1169,16.2853,13.5997,-0.2092,-0.014916008,"7,902 M",10/7/2022,low to medium,medium,None,0.197474944
85,85,CIG4111.CF,CI Global Income & Growth Fund Class F,9.3335,-0.1437,-0.0163,-0.0127,-0.0928,11.0173,9.1908,0.0127,0.001340398,"8,802 M",10/7/2022,low to medium,medium,None,0.19873134
94,94,CIG16194.CF,CI Global Income & Growth Fund Class E,13.7721,-0.1493,-0.017,-0.0148,-0.1005,16.364,13.5974,0.0185,0.001323205,"8,802 M",10/7/2022,low to medium,medium,None,0.203465368
8,8,RBF658.CF,RBC Select Balanced Portfolio Series F - NL,29.4833,-0.1575,-0.0277,-0.0207,-0.1221,35.2079,29.2539,-0.4757,-0.015878367,"13,757 M",10/7/2022,low to medium,large,None,0.203528418
84,84,CIG3111.CF,CI Global Income & Growth Fund Class A,9.2059,-0.151,-0.0172,-0.0154,-0.1028,10.9601,9.0962,0.0123,0.001316099,"8,802 M",10/7/2022,low to medium,medium,None,0.204909743
82,82,CIG1111.CF,CI Global Income & Growth Fund Class A,9.2059,-0.151,-0.0172,-0.0154,-0.1028,10.9601,9.0962,0.0123,0.001316099,"8,802 M",10/7/2022,low to medium,medium,None,0.204909743
83,83,CIG2111.CF,CI Global Income & Growth Fund Class A,9.2059,-0.151,-0.0172,-0.0154,-0.1028,10.9601,9.0962,0.0123,0.001316099,"8,802 M",10/7/2022,low to medium,medium,None,0.204909743
2,2,RBF460.CF,RBC Select Balanced Portfolio Series A - NL,27.8255,-0.1638,-0.0285,-0.0231,-0.1307,33.4822,27.6161,-0.4498,-0.015907877,"30,841 M",10/7/2022,low to medium,large,None,0.212415946
19,19,PHN9079.CF,RBC Global Corporate Bond Fund Series O,8.0804,-0.1676,-0.0382,-0.039,-0.1639,9.7672,8.0526,-0.0418,-0.005146389,"12,326 M",10/7/2022,low,large,None,0.212925018
20,20,RBF194.CF,RBC Global Corporate Bond Fund Series O - NL,8.0804,-0.1676,-0.0382,-0.039,-0.1639,9.7672,8.0526,-0.0418,-0.005146389,"12,326 M",10/7/2022,low,large,None,0.212925018
40,40,RBF459.CF,RBC Select Growth Portfolio Series A - NL,31.4634,-0.1702,-0.0286,-0.0234,-0.1311,38.2262,31.1479,-0.6033,-0.01881391,"9,494 M",10/7/2022,low to medium,medium,None,0.227248065
199,199,TDB3491.CF,TD U.S. Dividend Growth Fund - Ft5 Series - NL,17.53,-0.1485,-0.0265,0.0065,-0.056,20.883,16.6609,-0.43,-0.023942094,"6,146 M",10/7/2022,low to medium,small,None,0.253413681
187,187,RBF8407.CF,RBC Canadian Dividend Fund Series O U$ - NL,63.8793,-0.1317,-0.0806,-0.0781,-0.0891,79.987,63.2554,-0.9486,-0.014632589,"6,274 M",10/7/2022,medium,small,None,0.264508643
114,114,RBF8385.CF,PH&N U.S. Multi-Style All-Cap Equity Fund O - NL,18.9791,-0.1498,-0.0298,-0.0015,-0.0704,22.7065,17.8502,-0.5476,-0.028043653,"8,212 M",10/7/2022,medium,medium,None,0.272058576
113,113,PHN385.CF,PH&N U.S. Multi-Style All-Cap Equity Fund O - NL,18.9791,-0.1498,-0.0298,-0.0015,-0.0704,22.7065,17.8502,-0.5476,-0.028043653,"8,212 M",10/7/2022,medium,medium,None,0.272058576
98,98,RBF405.CF,RBC Canadian Dividend Fund Series A U$ - NL,62.6782,-0.1432,-0.0819,-0.0822,-0.1049,79.1832,62.0849,-0.934,-0.014682718,"8,699 M",10/7/2022,medium,medium,None,0.275401909
21,21,RBF515.CF,RBC Select Very Conservative Portfolio Ser A U$-,8.5885,-0.2033,-0.0698,-0.0772,-0.1942,10.9286,8.5601,-0.0661,-0.007637557,"12,290 M",10/7/2022,low,large,None,0.276690693
59,59,RBF5516.CF,RBC Select Conservative Portfolio Series F U$ -,15.6455,-0.2048,-0.0693,-0.0724,-0.1862,19.8623,15.5452,-0.1644,-0.010398548,"9,466 M",10/7/2022,low,medium,None,0.277712734
4,4,RBF516.CF,RBC Select Conservative Portfolio Series A U$ -,15.3369,-0.2105,-0.07,-0.0746,-0.1939,19.6386,15.2413,-0.1616,-0.010426815,"25,053 M",10/7/2022,low,large,None,0.288512135
9,9,RBF5517.CF,RBC Select Balanced Portfolio Series F U$ - NL,21.4619,-0.2245,-0.0718,-0.0749,-0.1983,27.9209,21.2319,-0.3273,-0.015021203,"13,757 M",10/7/2022,low to medium,large,None,0.315044815
3,3,RBF517.CF,RBC Select Balanced Portfolio Series A U$ - NL,20.2551,-0.2303,-0.0726,-0.0772,-0.2062,26.5896,20.0416,-0.3095,-0.015050135,"30,841 M",10/7/2022,low to medium,large,None,0.326720422
41,41,RBF518.CF,RBC Select Growth Portfolio Series A U$ - NL,22.9033,-0.2362,-0.0727,-0.0775,-0.2065,30.3016,22.5987,-0.4187,-0.017953006,"9,494 M",10/7/2022,low to medium,medium,None,0.34085589
116,116,PHN8077.CF,RBC Global Equity Focus Fund Series O,21.8345,-0.2275,-0.0307,-0.0247,-0.1742,28.6819,20.8154,-0.6113,-0.027234494,"7,919 M",10/7/2022,medium,medium,None,0.377917311
117,117,PHN9077.CF,RBC Global Equity Focus Fund Series O,21.8345,-0.2275,-0.0307,-0.0247,-0.1742,28.6819,20.8154,-0.6113,-0.027234494,"7,919 M",10/7/2022,medium,medium,None,0.377917311
118,118,RBF8077.CF,RBC Global Equity Focus Fund Series O - NL,21.8345,-0.2275,-0.0307,-0.0247,-0.1742,28.6819,20.8154,-0.6113,-0.027234494,"7,919 M",10/7/2022,medium,medium,None,0.377917311
186,186,RBF202.CF,RBC European Equity Fund Series O - NL,21.7171,-0.246,-0.0147,-0.0186,-0.1886,29.2226,21.0126,-0.4504,-0.020318033,"6,275 M",10/7/2022,medium,small,None,0.39071795
185,185,PHN9074.CF,RBC European Equity Fund - O,21.7171,-0.246,-0.0147,-0.0186,-0.1886,29.2226,21.0126,-0.4504,-0.020318033,"6,275 M",10/7/2022,medium,small,None,0.39071795
140,140,CIF823.CF,Capital Group Global Equity Fund (Canada) F - NL,40.0424,-0.2608,-0.0118,-0.0059,-0.2347,56.0146,38.5337,-0.909,-0.022197043,"7,089 M",10/7/2022,medium,small,None,0.453652258
115,115,RBF8417.CF,RBC Global Equity Focus Fund Series O U$ - NL,15.894,-0.289,-0.0748,-0.0787,-0.246,22.7981,15.6242,-0.4308,-0.026389297,"7,919 M",10/7/2022,medium,medium,None,0.459153109
111,111,TDB410.CF,TD U.S. Blue Chip Equity Fund Series F - NL,32.98,-0.3165,-0.0583,-0.0435,-0.2971,50.55,31.21,-1.4,-0.04072135,"8,380 M",10/7/2022,medium,medium,None,0.619673182
103,103,TDB3554.CF,TD U.S. Blue Chip Equity Fund Ft5 Series - NL,15.55,-0.3167,-0.0579,-0.0432,-0.2973,23.8348,14.7153,-0.66,-0.040715608,"8,380 M",10/7/2022,medium,medium,None,0.619729125
104,104,TDB3555.CF,TD U.S. Blue Chip Equity Fund Ft8 Series - NL,13.86,-0.3167,-0.0581,-0.0435,-0.2974,21.2587,13.1232,-0.59,-0.04083045,"8,380 M",10/7/2022,medium,medium,None,0.619932638
112,112,TDB3091.CF,TD U.S. Blue Chip Equity Fund - D,18.75,-0.3187,-0.0583,-0.0439,-0.3004,28.85,17.76,-0.8,-0.040920716,"8,380 M",10/7/2022,medium,medium,None,0.624436937
105,105,TDB3550.CF,TD U.S. Blue Chip Equity Fund T8 Series - ISC,13.2301,-0.3229,-0.0591,-0.046,-0.3058,20.5026,12.5655,-0.561,-0.040678409,"8,380 M",10/7/2022,medium,medium,None,0.631658111
107,107,TDB123.CF,TD U.S. Blue Chip Equity Fund - Lsc2,24.1161,-0.323,-0.059,-0.0463,-0.306,37.3788,22.9076,-1.0225,-0.040674501,"8,380 M",10/7/2022,medium,medium,None,0.631720477
108,108,TDB310.CF,TD U.S. Blue Chip Equity Fund - FE,24.1161,-0.323,-0.059,-0.0463,-0.306,37.3788,22.9076,-1.0225,-0.040674501,"8,380 M",10/7/2022,medium,medium,None,0.631720477
109,109,TDB340.CF,TD U.S. Blue Chip Equity Fund - DSC,24.1161,-0.323,-0.059,-0.0463,-0.306,37.3788,22.9076,-1.0225,-0.040674501,"8,380 M",10/7/2022,medium,medium,None,0.631720477
110,110,TDB370.CF,TD U.S. Blue Chip Equity Fund - LL,24.1161,-0.323,-0.059,-0.0463,-0.306,37.3788,22.9076,-1.0225,-0.040674501,"8,380 M",10/7/2022,medium,medium,None,0.631720477
102,102,TDB3549.CF,TD U.S. Blue Chip Equity Fund H8 Series - NL,13.26,-0.3229,-0.0589,-0.0457,-0.3057,20.5449,12.5907,-0.56,-0.040520984,"8,380 M",10/7/2022,medium,medium,None,0.631752007
106,106,TDB977.CF,TD U.S. Blue Chip Equity Fund - Investor Ser - N,53.88,-0.3231,-0.059,-0.0464,-0.306,83.52,51.18,-2.29,-0.040769094,"8,380 M",10/7/2022,medium,medium,None,0.631887456
181,181,TDB3172.CF,TD U.S. Blue Chip Equity Fund - F Series U$ - NL,24.01,-0.3705,-0.1011,-0.0963,-0.358,40.06,23.85,-0.99,-0.0396,"6,380 M",10/7/2022,medium,small,None,0.67966457
182,182,TDB3011.CF,TD U.S. Blue Chip Equity Fund - D Series U$,13.65,-0.3727,-0.1008,-0.0966,-0.361,22.87,13.57,-0.57,-0.040084388,"6,380 M",10/7/2022,medium,small,None,0.685335298
183,183,TDB220.CF,TD U.S. Blue Chip Equity Fund - Inv Ser U$ - NL,39.22,-0.3768,-0.1017,-0.0992,-0.3663,66.2,38.98,-1.63,-0.039902081,"6,380 M",10/7/2022,medium,small,None,0.698306824
