,Unnamed: 0,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Assets Under Management,Time,Risk,Size,Percentile,Volatility
77,77,TDB2594.CF,TD Tactical Monthly Income Fund-Prem F NL,12.62,-0.1203,-0.0284,-0.0096,-0.066,14.3944,12.5149,-0.17,-0.013291634,"8,898 M",10/7/2022,low to medium,medium,30%,0.150180984
69,69,TDB2585.CF,TD Tactical Monthly Income Fund F Series - NL,13.53,-0.1207,-0.0284,-0.0091,-0.0667,15.4461,13.4235,-0.18,-0.013129103,"8,898 M",10/7/2022,low to medium,medium,30%,0.150676053
75,75,TDB2591.CF,TD Tactical Monthly Income Fund Ft8 Series - NL,14.62,-0.1217,-0.0291,-0.0101,-0.0674,16.7028,14.5088,-0.2,-0.013495277,"8,898 M",10/7/2022,low to medium,medium,30%,0.151218571
63,63,TDB3481.CF,TD Tactical Monthly Income Fund - Ft5 Series - N,14.44,-0.1213,-0.0293,-0.0096,-0.0676,16.5001,14.3327,-0.19,-0.012987013,"8,898 M",10/7/2022,low to medium,medium,30%,0.151220635
37,37,BNS385.CF,Scotia Canadian Dividend Fund Series A - NL,79.2784,-0.079,-0.0573,-0.043,-0.016,90.9679,78.9845,-1.4441,-0.017889684,"10,361 M",10/7/2022,medium,large,15%,0.151718375
79,79,TDB3043.CF,TD Tactical Monthly Income Fund - D Series - NL,10.98,-0.1226,-0.0287,-0.0097,-0.0694,12.5629,10.8989,-0.15,-0.013477089,"8,898 M",10/7/2022,low to medium,medium,30%,0.152675958
99,99,RBF266.CF,RBC Canadian Dividend Fund Series A - NL,86.1041,-0.0691,-0.0382,-0.0283,-0.0197,98.8906,85.6297,-1.3595,-0.015543609,"8,699 M",10/7/2022,medium,medium,15%,0.154863324
57,57,TDB299.CF,TD Dividend Growth Fund Ft8 Series - NL,10.74,-0.0483,-0.0348,-0.0264,0.0063,12.233,10.5909,-0.19,-0.017383349,"9,478 M",10/7/2022,medium,medium,10%,0.155048202
51,51,TDB856.CF,TD Dividend Growth Fund - F Series - NL,38.75,-0.0476,-0.0341,-0.0259,0.007,44.1031,38.1814,-0.66,-0.016747019,"9,478 M",10/7/2022,medium,medium,10%,0.155093842
45,45,TDB3483.CF,TD Dividend Growth Fund - Ft5 Series - NL,15.76,-0.0476,-0.034,-0.0257,0.0069,17.935,15.5248,-0.26,-0.016229713,"9,478 M",10/7/2022,medium,medium,10%,0.155248377
44,44,TDB2927.CF,TD Dividend Growth Fund - Premium F Ser NL,15.95,-0.047,-0.0335,-0.0253,0.0077,18.149,15.7089,-0.27,-0.016646116,"9,478 M",10/7/2022,medium,medium,10%,0.155332328
158,158,TDB2765.CF,TD Retirement Balanced Portfolio F Series - NL,19.06,-0.1301,-0.0241,-0.0271,-0.0929,22.023,19.06,-0.18,-0.009355509,"6,625 M",10/7/2022,low,small,None,0.155456453
164,164,TDB2771.CF,TD Retirement Balanced Portfolio Ft5 Series - NL,12.55,-0.1302,-0.0246,-0.0273,-0.093,14.5048,12.55,-0.12,-0.009471192,"6,625 M",10/7/2022,low,small,None,0.155760956
