,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Price Volume,Time,Rating,Percentile,Volatility
9,BAM-A-T,Brookfield Asset Management Inc Cl A Lv,62.06,-0.1876,0.1585,-0.0927,-0.1638,79.04,51.07,2.5,0.042,"183,908",11/11/22,4.38,None,0.5476796553749756
42,POW-T,Power Corp of Canada Sv,33.43,-0.2002,0.0957,-0.0495,-0.2153,43.45,29.76,0.75,0.0229,"58,944",11/11/22,3.75,None,0.460013440860215
74,GFL-T,Gfl Environmental Inc,37.5,-0.216,0.1131,0.0168,-0.2311,53.36,31.57,1.5,0.0417,"27,618",11/11/22,4.89,None,0.6902122267975925
73,K-T,Kinross Gold Corp,5.7,-0.2234,0.1332,0.2667,-0.3326,8.94,3.92,0.04,0.0071,"27,704",11/11/22,4.22,None,1.2806122448979589
8,BNS-T,Bank of Nova Scotia,68.68,-0.2331,0.0721,-0.1384,-0.1693,95.0,63.19,-0.36,-0.0052,"194,230",11/11/22,3.17,None,0.503402437094477
95,CCA-T,Cogeco Communications Inc,72.33,-0.2819,0.1123,-0.1405,-0.3192,114.66,62.35,0.91,0.0127,"19,915",11/11/22,3.50,None,0.8389735364875701
98,CIGI-T,Colliers International Group Inc,133.97,-0.2888,0.0679,-0.1789,-0.2529,200.51,115.9,5.74,0.0448,"19,199",11/11/22,4.29,None,0.7300258843830887
7,AQN-T,Algonquin Power and Utilities Corp,12.34,-0.3246,-0.1542,-0.3319,-0.3056,20.19,12.27,-2.95,-0.1929,"207,709",11/11/22,3.75,None,0.645476772616137
81,OTEX-T,Open Text Corp,39.73,-0.3383,0.13,-0.2062,-0.3847,66.51,34.72,0.88,0.0227,"24,802",11/11/22,4.17,None,0.9156105990783412
78,PAAS-T,Pan American Silver Corp,20.49,-0.3508,-0.0627,-0.0985,-0.4139,38.51,18.14,1.07,0.0551,"25,792",11/11/22,4.43,None,1.1229327453142224
88,BB-T,Blackberry Ltd,6.61,-0.4408,0.1516,-0.2323,-0.5015,14.26,5.49,0.06,0.0092,"21,814",11/11/22,2.33,None,1.5974499089253187
62,NVEI-T,Nuvei Corp,44.99,-0.4513,0.2094,-0.0241,-0.663,142.77,34.47,3.02,0.072,"32,838",11/11/22,4.40,None,3.1418624891209754
83,GOOS-T,Canada Goose Holdings Inc,25.02,-0.4663,0.1041,-0.1106,-0.5961,67.33,20.01,1.93,0.0836,"23,334",11/11/22,4.00,None,2.3648175912043974
60,WEED-T,Canopy Growth Corp,5.61,-0.4918,0.7104,0.399,-0.6698,19.98,2.79,0.52,0.1022,"34,852",11/11/22,2.00,None,6.161290322580645
30,LSPD-T,Lightspeed Commerce Inc.,23.52,-0.5395,-0.0192,-0.2202,-0.7205,89.79,18.84,1.87,0.0864,"71,449",11/11/22,4.14,None,3.765923566878981
3,SHOP-T,Shopify Inc,52.34,-0.6995,0.4798,0.0132,-0.7212,222.87,33.0,3.69,0.0758,"283,432",11/11/22,3.85,None,5.753636363636364
