,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Assets Under Management,Time,risk,Size,Percentile,Volatility
165,TDB2763.CF,TD Retirement Balanced Portfolio Advisor Ser -Ls,17.9974,-0.1051,0.0291,0.0016,-0.0943,20.2237,17.0482,0.0968,0.00540764,"6,233 M",11/30/2022,Low,small,None,0.186265999
166,TDB2764.CF,TD Retirement Balanced Portfolio Advisor Ser -Ls,17.9974,-0.1051,0.0291,0.0016,-0.0943,20.2237,17.0482,0.0968,0.00540764,"6,233 M",11/30/2022,Low,small,None,0.186265999
144,DJT03806.CF,Desjardins Canadian Bond Fund F Class - NL,9.25,-0.1052,0.0287,0.0084,-0.0886,10.3576,8.7346,0.025,0.002710027,"6,619 M",11/30/2022,Low,small,None,0.185812745
168,TDB2766.CF,TD Retirement Balanced Portfolio H5 Series - NL,11.7,-0.1054,0.0284,0.0011,-0.0942,13.1467,11.0894,0,0,"6,233 M",11/30/2022,Low,small,None,0.185519505
162,TDB2760.CF,TD Retirement Balanced Portfolio Investor Ser -,17.99,-0.1054,0.0286,0.0011,-0.0944,20.2193,17.05,0.09,0.005027933,"6,233 M",11/30/2022,Low,small,None,0.185882698
143,DJT07006.CF,Desjardins Canadian Bond Fund D Class,9.206,-0.1057,0.0287,0.0082,-0.0891,10.314,8.6934,0.025,0.002723015,"6,619 M",11/30/2022,Low,small,None,0.186417282
194,TDB3499.CF,TD Retirement Conservative Portfolio Ft8 - NL,12.51,-0.1061,0.0297,-0.0006,-0.097,14.0553,11.8345,-0.02,-0.001596169,"5,974 M",11/30/2022,Low,small,None,0.187654738
7,PHN9071.CF,RBC Bond Fund Series O - NL,6.165,-0.1068,0.0303,0.0104,-0.088,6.9127,5.7982,0.0173,0.002814061,"20,056 M",11/30/2022,Low,large,None,0.192214825
8,RBF137.CF,RBC Bond Fund Series O - NL,6.165,-0.1068,0.0303,0.0104,-0.088,6.9127,5.7982,0.0173,0.002814061,"20,056 M",11/30/2022,Low,large,None,0.192214825
2,GWL3005.CF,GWL Agg Portfolio 75/75 (Ps1),21.4713,-0.1099,0.0284,-0.0444,-0.0712,24.1835,20.3117,0.1389,0.006511222,"113,191 M",7/28/2022,None,large,None,0.1906192
145,DJT03006.CF,Desjardins Canadian Bond Fund C Class - FE,9.137,-0.11,0.0281,0.0067,-0.0939,10.2883,8.633,0.024,0.0026336,"6,619 M",11/30/2022,Low,small,None,0.191740994
146,DJT03206.CF,Desjardins Canadian Bond Fund C Class - DSC,9.137,-0.11,0.0281,0.0067,-0.0939,10.2883,8.633,0.024,0.0026336,"6,619 M",11/30/2022,Low,small,None,0.191740994
147,DJT03406.CF,Desjardins Canadian Bond Fund C Class - LL,9.137,-0.11,0.0281,0.0067,-0.0939,10.2883,8.633,0.024,0.0026336,"6,619 M",11/30/2022,Low,small,None,0.191740994
149,DJT00006.CF,Desjardins Canadian Bond Fund A Class - NL,5.045,-0.1105,0.028,0.0067,-0.0945,5.6835,4.7676,0.013,0.002583466,"6,619 M",11/30/2022,Low,small,None,0.192109237
98,TDB2921.CF,TD Canadian Bond Fund - Premium F Ser NL,9.36,-0.1112,0.0274,0.0063,-0.0954,10.5409,8.85,0.03,0.003215434,"8,389 M",11/30/2022,Low,medium,None,0.191062147
16,TDB2923.CF,TD Canadian Core Plus Bond Fd-Premium F NL,9.33,-0.1114,0.0269,0.0045,-0.0958,10.5191,8.8466,-0.01,-0.001070664,"15,541 M",11/30/2022,Low,large,None,0.189055682
97,TDB406.CF,TD Canadian Bond Fund Series F - NL,10.99,-0.112,0.0271,0.0053,-0.0968,12.3955,10.4,0.03,0.002737226,"8,389 M",11/30/2022,Low,medium,None,0.191875
15,TDB699.CF,TD Canadian Core Plus Bond Fund  F Series - NL,10.56,-0.1122,0.0261,0.0049,-0.0959,11.9145,10.0123,-0.01,-0.000946074,"15,541 M",11/30/2022,Low,large,None,0.189986317
99,TDB3081.CF,TD Canadian Bond Fund - D Series - NL,8.99,-0.1135,0.0274,0.0048,-0.0982,10.1612,8.51,0.02,0.002229654,"8,389 M",11/30/2022,Low,medium,None,0.194030552
195,TDB2740.CF,TD Retirement Conservative Portfolio Inv Ser - N,17.69,-0.1137,0.0291,-0.0034,-0.1058,20.0411,16.75,0.11,0.00625711,"5,974 M",11/30/2022,Low,small,None,0.196483582
197,TDB2742.CF,TD Retirement Conservative Portfolio Adv Ser -Ds,17.5819,-0.1138,0.029,-0.0032,-0.1055,19.9233,16.6487,0.1068,0.006111553,"5,974 M",11/30/2022,Low,small,None,0.19668803
196,TDB2741.CF,TD Retirement Conservative Portfolio Adv Ser -Is,17.5819,-0.1138,0.029,-0.0032,-0.1055,19.9233,16.6487,0.1068,0.006111553,"5,974 M",11/30/2022,Low,small,None,0.19668803
198,TDB2743.CF,TD Retirement Conservative Portfolio Adv Ser -Ls,17.5819,-0.1138,0.029,-0.0032,-0.1055,19.9233,16.6487,0.1068,0.006111553,"5,974 M",11/30/2022,Low,small,None,0.19668803
199,TDB2744.CF,TD Retirement Conservative Portfolio Adv Ser -Ls,17.5819,-0.1138,0.029,-0.0032,-0.1055,19.9233,16.6487,0.1068,0.006111553,"5,974 M",11/30/2022,Low,small,None,0.19668803
17,TDB3040.CF,TD Canadian Core Plus Bond Fund - D Series - NL,8.64,-0.114,0.0271,0.0045,-0.098,9.771,8.1934,0,0,"15,541 M",11/30/2022,Low,large,None,0.192545219
20,TDB3474.CF,TD Fixed Income Pool F Series - NL,9.33,-0.114,0.0298,-0.0001,-0.1009,10.5533,8.83,0.02,0.002148228,"11,803 M",11/30/2022,Low,large,None,0.195164213
100,TDB2002.CF,TD Canadian Bond Fund - Premium Series - NL,9.02,-0.1154,0.0262,0.0039,-0.1001,10.217,8.54,0.02,0.002222222,"8,389 M",11/30/2022,Low,medium,None,0.196370023
92,TDB162.CF,TD Canadian Bond Fund - Investor Series - NL,12.31,-0.1157,0.0267,0.0042,-0.1006,13.9496,11.65,0.03,0.002442997,"8,389 M",11/30/2022,Low,medium,None,0.197390558
9,TDB2003.CF,TD Canadian Core Plus Bond Fund - Premium Ser -,9.45,-0.1158,0.0269,0.0039,-0.1003,10.7168,8.9637,0,0,"15,541 M",11/30/2022,Low,large,None,0.195577719
151,RBF202.CF,RBC European Equity Fund Series O - NL,25.4622,-0.116,0.1022,0.1378,-0.0783,29.2226,21.0126,0.3087,0.012272646,"6,483 M",11/30/2022,Medium,small,None,0.39071795
150,PHN9074.CF,RBC European Equity Fund - O,25.4622,-0.116,0.1022,0.1378,-0.0783,29.2226,21.0126,0.3087,0.012272646,"6,483 M",11/30/2022,Medium,small,None,0.39071795
94,TDB306.CF,TD Canadian Bond Fund - Advisor Series - FE,10.7418,-0.1162,0.0267,0.0041,-0.1012,12.1787,10.1684,0.027,0.002519879,"8,389 M",11/30/2022,Low,medium,None,0.19770072
95,TDB336.CF,TD Canadian Bond Fund - Advisor Series - DSC,10.7418,-0.1162,0.0267,0.0041,-0.1012,12.1787,10.1684,0.027,0.002519879,"8,389 M",11/30/2022,Low,medium,None,0.19770072
96,TDB366.CF,TD Canadian Bond Fund - Advisor Series - LL,10.7418,-0.1162,0.0267,0.0041,-0.1012,12.1787,10.1684,0.027,0.002519879,"8,389 M",11/30/2022,Low,medium,None,0.19770072
93,TDB107.CF,TD Canadian Bond Fund - Advisor Series - Lsc2,10.7418,-0.1162,0.0267,0.0041,-0.1012,12.1787,10.1684,0.027,0.002519879,"8,389 M",11/30/2022,Low,medium,None,0.19770072
50,PHN9072.CF,RBC Global Bond Fund Series O - NL,9.7198,-0.1171,0.0206,-0.0186,-0.1208,11.1307,9.3378,0.011,0.001132993,"9,175 M",11/30/2022,Low,medium,None,0.192004541
51,RBF193.CF,RBC Global Bond Fund Series O - NL,9.7198,-0.1171,0.0206,-0.0186,-0.1208,11.1307,9.3378,0.011,0.001132993,"9,175 M",11/30/2022,Low,medium,None,0.192004541
10,TDB694.CF,TD Canadian Core Plus Bond Fund - Investor Ser -,10.32,-0.1177,0.0264,0.0033,-0.1029,11.726,9.7951,0,0,"15,541 M",11/30/2022,Low,large,None,0.197129177
13,TDB697.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc,10.5006,-0.1179,0.0262,0.003,-0.1026,11.9318,9.9651,0.0008,7.62E-05,"15,541 M",11/30/2022,Low,large,None,0.197358782
14,TDB698.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc2,10.5006,-0.1179,0.0262,0.003,-0.1026,11.9318,9.9651,0.0008,7.62E-05,"15,541 M",11/30/2022,Low,large,None,0.197358782
11,TDB695.CF,TD Canadian Core Plus Bond Fund Advisor - ISC,10.5006,-0.1179,0.0262,0.003,-0.1026,11.9318,9.9651,0.0008,7.62E-05,"15,541 M",11/30/2022,Low,large,None,0.197358782
12,TDB696.CF,TD Canadian Core Plus Bond Fund Advisor - DSC,10.5006,-0.1179,0.0262,0.003,-0.1026,11.9318,9.9651,0.0008,7.62E-05,"15,541 M",11/30/2022,Low,large,None,0.197358782
21,TDB3610.CF,TD Fixed Income Pool - Advisor Series,8.7796,-0.1196,0.0288,-0.0022,-0.1072,9.9973,8.3153,0.0201,0.002294652,"11,803 M",11/30/2022,Low,large,None,0.202277729
28,FID933.CF,Fidelity Canadian Bond Fund Series O,12.5737,-0.1267,-0.0104,-0.0409,-0.106,14.4148,12.302,-0.1687,-0.013239264,"10,402 M",10/31/2022,Low,large,None,0.171744432
27,RBF194.CF,RBC Global Corporate Bond Fund Series O - NL,8.4325,-0.1313,0.0424,-0.0057,-0.1251,9.732,7.9061,0.0345,0.004108121,"11,561 M",11/30/2022,Low,large,None,0.230948255
26,PHN9079.CF,RBC Global Corporate Bond Fund Series O,8.4325,-0.1313,0.0424,-0.0057,-0.1251,9.732,7.9061,0.0345,0.004108121,"11,561 M",11/30/2022,Low,large,None,0.230948255
48,RBF5516.CF,RBC Select Conservative Portfolio Series F U$ -,17.0027,-0.1358,0.0541,0.0023,-0.1134,19.6797,15.3465,0.29,0.017352074,"9,192 M",11/30/2022,Low,medium,None,0.282357541
5,RBF516.CF,RBC Select Conservative Portfolio Series A U$ -,16.6448,-0.1431,0.0532,-0.0001,-0.1218,19.4255,15.041,0.2835,0.017327474,"24,231 M",11/30/2022,Low,large,None,0.291503225
18,RBF5517.CF,RBC Select Balanced Portfolio Series F U$ - NL,23.6453,-0.1456,0.0659,0.0119,-0.1235,27.6754,21.0108,0.4831,0.020857259,"13,500 M",11/30/2022,Low to Medium,large,None,0.317198774
25,RBF515.CF,RBC Select Very Conservative Portfolio Ser A U$-,9.1968,-0.1469,0.0462,-0.0123,-0.1283,10.7803,8.4184,0.1406,0.015525276,"11,668 M",11/30/2022,Low,large,None,0.280564003
47,RBF518.CF,RBC Select Growth Portfolio Series A U$ - NL,25.4153,-0.1524,0.0708,0.0174,-0.1313,29.991,22.4212,0.5691,0.022904911,"9,360 M",11/30/2022,Low to Medium,medium,None,0.337617969
4,RBF517.CF,RBC Select Balanced Portfolio Series A U$ - NL,22.2847,-0.1532,0.065,0.0094,-0.1321,26.3168,19.8256,0.4549,0.020838487,"30,208 M",11/30/2022,Low to Medium,large,None,0.327415059
120,RBF8077.CF,RBC Global Equity Focus Fund Series O - NL,23.871,-0.1555,0.0636,0.0485,-0.149,28.6819,20.8154,0.5518,0.023662904,"7,704 M",11/30/2022,Medium,medium,None,0.377917311
119,PHN9077.CF,RBC Global Equity Focus Fund Series O,23.871,-0.1555,0.0636,0.0485,-0.149,28.6819,20.8154,0.5518,0.023662904,"7,704 M",11/30/2022,Medium,medium,None,0.377917311
118,PHN8077.CF,RBC Global Equity Focus Fund Series O,23.871,-0.1555,0.0636,0.0485,-0.149,28.6819,20.8154,0.5518,0.023662904,"7,704 M",11/30/2022,Medium,medium,None,0.377917311
141,CIF823.CF,Capital Group Global Equity Fund (Canada) F - NL,43.9738,-0.1883,0.0743,0.0751,-0.1871,54.6614,38.5337,0.7941,0.018390586,"6,882 M",11/30/2022,Medium,small,None,0.418534945
117,RBF8417.CF,RBC Global Equity Focus Fund Series O U$ - NL,17.746,-0.2061,0.0759,0.0209,-0.191,22.4165,15.54,0.5806,0.033823855,"7,704 M",11/30/2022,Medium,medium,None,0.442503218
0,MXM813.CF,Maxam Diversified Strategies Fund Class  X,25.6609,-0.2326,-0.045,-0.0117,-0.1008,33.437,25.6609,-0.8991,-0.033851657,"67,409,502 M",9/30/2022,Medium,large,None,0.303033019
111,TDB410.CF,TD U.S. Blue Chip Equity Fund Series F - NL,34.15,-0.2922,0.0179,-0.0301,-0.3041,49.78,30.6,1.23,0.037363305,"7,825 M",11/30/2022,Medium,medium,None,0.626797386
113,TDB3554.CF,TD U.S. Blue Chip Equity Fund Ft5 Series - NL,15.89,-0.2927,0.0174,-0.0307,-0.3043,23.1772,14.2472,0.48,0.031148605,"7,825 M",11/30/2022,Medium,medium,None,0.626789825
114,TDB3555.CF,TD U.S. Blue Chip Equity Fund Ft8 Series - NL,14.04,-0.293,0.0171,-0.0309,-0.3048,20.491,12.5935,0.36,0.026315789,"7,825 M",11/30/2022,Medium,medium,None,0.627109223
116,TDB3091.CF,TD U.S. Blue Chip Equity Fund - D,19.4,-0.2951,0.0173,-0.0315,-0.3074,28.41,17.4,0.7,0.037433155,"7,825 M",11/30/2022,Medium,medium,None,0.632758621
115,TDB3550.CF,TD U.S. Blue Chip Equity Fund T8 Series - ISC,13.3835,-0.3002,0.0167,-0.0332,-0.3128,19.7542,12.0046,0.3456,0.026507336,"7,825 M",11/30/2022,Medium,medium,None,0.645552538
112,TDB3549.CF,TD U.S. Blue Chip Equity Fund H8 Series - NL,13.41,-0.3004,0.0164,-0.033,-0.3127,19.7967,12.0281,0.35,0.026799387,"7,825 M",11/30/2022,Medium,medium,None,0.645870919
106,TDB977.CF,TD U.S. Blue Chip Equity Fund - Investor Ser - N,55.66,-0.3008,0.0162,-0.0337,-0.3133,82.21,49.93,2,0.037271711,"7,825 M",11/30/2022,Medium,medium,None,0.646505107
107,TDB123.CF,TD U.S. Blue Chip Equity Fund - Lsc2,24.9087,-0.3008,0.0161,-0.0337,-0.3133,36.7953,22.353,0.8969,0.037352468,"7,825 M",11/30/2022,Medium,medium,None,0.646101194
108,TDB310.CF,TD U.S. Blue Chip Equity Fund - FE,24.9087,-0.3008,0.0161,-0.0337,-0.3133,36.7953,22.353,0.8969,0.037352468,"7,825 M",11/30/2022,Medium,medium,None,0.646101194
109,TDB340.CF,TD U.S. Blue Chip Equity Fund - DSC,24.9087,-0.3008,0.0161,-0.0337,-0.3133,36.7953,22.353,0.8969,0.037352468,"7,825 M",11/30/2022,Medium,medium,None,0.646101194
110,TDB370.CF,TD U.S. Blue Chip Equity Fund - LL,24.9087,-0.3008,0.0161,-0.0337,-0.3133,36.7953,22.353,0.8969,0.037352468,"7,825 M",11/30/2022,Medium,medium,None,0.646101194
22,TDB2041.CF,TD Fixed Income Pool Investor Series,9.27,,0.0289,-0.0028,,9.9633,8.78,0.02,0.002162162,"11,803 M",11/30/2022,Low,large,None,0.13477221
23,TDB2297.CF,TD Fixed Income Pool - D Series,9.82,,0.0294,-0.001,,9.9997,9.3,0.02,0.002040816,"11,803 M",11/30/2022,Low,large,None,0.075236559
78,CIG90944.CF,CI Global Income & Growth Fund Series Pp,9.53,,0.0477,0.0297,,9.7802,8.8275,0.0785,0.00830556,"8,577 M",11/30/2022,Low to Medium,medium,None,0.107924101
79,CIG4944.CF,CI Global Income & Growth Fund Series Y,9.4748,,0.0467,0.027,,9.7879,8.8174,0.0778,0.008279238,"8,577 M",11/30/2022,Low to Medium,medium,None,0.11006646
80,CIG1944.CF,CI Global Income & Growth Fund Series Z,9.4138,,0.0457,0.0242,,9.7956,8.8056,0.0769,0.008236138,"8,577 M",11/30/2022,Low to Medium,medium,None,0.112428455
81,CIG2944.CF,CI Global Income & Growth Fund Series Z,9.4138,,0.0457,0.0242,,9.7956,8.8056,0.0769,0.008236138,"8,577 M",11/30/2022,Low to Medium,medium,None,0.112428455
82,CIG3944.CF,CI Global Income & Growth Fund Series Z,9.4138,,0.0457,0.0242,,9.7956,8.8056,0.0769,0.008236138,"8,577 M",11/30/2022,Low to Medium,medium,None,0.112428455
