Symbol,Name,Last,Change,"% Change","Assets Under Management",Time
MXM813.CF,"Maxam Diversified Strategies Fund Class  X",25.6609,-0.8991,-0.033851656626506,"67,409,502 M",09/30/22
CLGO002A.CF,"GWL Agg Portfolio 75/75 (Ps1)",20.8021,0.1085,0.0052431669694978,"109,489 M",10/21/22
GWL3005.CF,"GWL Agg Portfolio 75/75 (Ps1)",21.4713,0.1389,0.0065112223659785,"109,489 M",07/28/22
RBF460.CF,"RBC Select Balanced Portfolio Series A - NL",27.8916,0.1299,0.0046791082678654,"29,602 M",10/24/22
RBF517.CF,"RBC Select Balanced Portfolio Series A U$ - NL",20.3395,-0.014399999999998,-0.00070748112155402,"29,602 M",10/24/22
RBF516.CF,"RBC Select Conservative Portfolio Series A U$ -",15.3631,-0.0068000000000001,-0.00044242317776955,"24,079 M",10/24/22
RBF461.CF,"RBC Select Conservative Portfolio Series A - NL",21.0674,0.1037,0.0049466458688113,"24,079 M",10/24/22
PHN9071.CF,"RBC Bond Fund Series O - NL",5.8242,0.0157,0.0027029353533614,"20,622 M",10/24/22
RBF137.CF,"RBC Bond Fund Series O - NL",5.8242,0.0157,0.0027029353533614,"20,622 M",10/24/22
TDB2003.CF,"TD Canadian Core Plus Bond Fund - Premium Ser -",9.03,0.02,0.002219755826859,"13,641 M",10/24/22
TDB694.CF,"TD Canadian Core Plus Bond Fund - Investor Ser -",9.86,0.02,0.0020325203252032,"13,641 M",10/24/22
TDB695.CF,"TD Canadian Core Plus Bond Fund Advisor - ISC",10.0293,0.022599999999999,0.0022584868138346,"13,641 M",10/24/22
TDB696.CF,"TD Canadian Core Plus Bond Fund Advisor - DSC",10.0293,0.022599999999999,0.0022584868138346,"13,641 M",10/24/22
TDB697.CF,"TD Canadian Core Plus Bond Fund Advisor - Lsc",10.0293,0.022599999999999,0.0022584868138346,"13,641 M",10/24/22
TDB698.CF,"TD Canadian Core Plus Bond Fund Advisor - Lsc2",10.0293,0.022599999999999,0.0022584868138346,"13,641 M",10/24/22
TDB699.CF,"TD Canadian Core Plus Bond Fund  F Series - NL",10.09,0.02,0.0019860973187686,"13,641 M",10/24/22
TDB2923.CF,"TD Canadian Core Plus Bond Fd-Premium F NL",8.92,0.02,0.0022471910112359,"13,641 M",10/24/22
TDB3040.CF,"TD Canadian Core Plus Bond Fund - D Series - NL",8.25,0.02,0.0024301336573511,"13,641 M",10/24/22
RBF5517.CF,"RBC Select Balanced Portfolio Series F U$ - NL",21.561,-0.0136,-0.00063037089911286,"13,221 M",10/24/22
RBF658.CF,"RBC Select Balanced Portfolio Series F - NL",29.5667,0.1401,0.0047609985523302,"13,221 M",10/24/22
TDB2041.CF,"TD Fixed Income Pool Investor Series",8.8,0.020000000000001,0.0022779043280184,"11,887 M",10/24/22
TDB2297.CF,"TD Fixed Income Pool - D Series",9.31,0.0099999999999998,0.0010752688172043,"11,887 M",10/24/22
TDB3474.CF,"TD Fixed Income Pool F Series - NL",8.85,0.02,0.0022650056625141,"11,887 M",10/24/22
TDB3610.CF,"TD Fixed Income Pool - Advisor Series",8.3318,0.016499999999999,0.0019842940122424,"11,887 M",10/24/22
RBF209.CF,"RBC Select Very Conservative Portfolio Series A-",11.7247,0.041700000000001,0.0035692887100916,"11,790 M",10/24/22
RBF515.CF,"RBC Select Very Conservative Portfolio Ser A U$-",8.5501,-0.015499999999999,-0.0018095638367422,"11,790 M",10/24/22
PHN9079.CF,"RBC Global Corporate Bond Fund Series O",7.9302,0.0241,0.0030482791768381,"11,681 M",10/24/22
RBF194.CF,"RBC Global Corporate Bond Fund Series O - NL",7.9302,0.0241,0.0030482791768381,"11,681 M",10/24/22
TDB2921.CF,"TD Canadian Bond Fund - Premium F Ser NL",8.88,0.020000000000001,0.0022573363431153,"10,601 M",10/24/22
TDB3081.CF,"TD Canadian Bond Fund - D Series - NL",8.54,0.02,0.0023474178403755,"10,601 M",10/24/22
TDB2002.CF,"TD Canadian Bond Fund - Premium Series - NL",8.57,0.0099999999999998,0.0011682242990654,"10,601 M",10/24/22
TDB162.CF,"TD Canadian Bond Fund - Investor Series - NL",11.69,0.02,0.001713796058269,"10,601 M",10/24/22
TDB107.CF,"TD Canadian Bond Fund - Advisor Series - Lsc2",10.2065,0.0212,0.0020814310820497,"10,601 M",10/24/22
TDB306.CF,"TD Canadian Bond Fund - Advisor Series - FE",10.2065,0.0212,0.0020814310820497,"10,601 M",10/24/22
TDB336.CF,"TD Canadian Bond Fund - Advisor Series - DSC",10.2065,0.0212,0.0020814310820497,"10,601 M",10/24/22
TDB366.CF,"TD Canadian Bond Fund - Advisor Series - LL",10.2065,0.0212,0.0020814310820497,"10,601 M",10/24/22
TDB406.CF,"TD Canadian Bond Fund Series F - NL",10.44,0.029999999999999,0.0028818443804034,"10,601 M",10/24/22
FID933.CF,"Fidelity Canadian Bond Fund Series O",12.7424,-0.1085,-0.0084429884288259,"10,510 M",09/30/22
BNS385.CF,"Scotia Canadian Dividend Fund Series A - NL",81.3065,0.5783,0.0071635438421766,"9,757 M",10/24/22
PHN9072.CF,"RBC Global Bond Fund Series O - NL",9.3674,0.0296,0.0031699115423333,"9,378 M",10/24/22
RBF193.CF,"RBC Global Bond Fund Series O - NL",9.3674,0.0296,0.0031699115423333,"9,378 M",10/24/22
RBF657.CF,"RBC Select Conservative Portfolio Series F - NL",21.5007,0.1074,0.0050202633534798,"9,129 M",10/24/22
RBF5516.CF,"RBC Select Conservative Portfolio Series F U$ -",15.679,-0.0057999999999989,-0.00036978475976735,"9,129 M",10/24/22
RBF518.CF,"RBC Select Growth Portfolio Series A U$ - NL",23.0962,-0.017099999999999,-0.00073983377535874,"9,096 M",10/24/22
RBF459.CF,"RBC Select Growth Portfolio Series A - NL",31.6718,0.1464,0.0046438744631313,"9,096 M",10/24/22
TDB3483.CF,"TD Dividend Growth Fund - Ft5 Series - NL",16.12,0.09,0.0056144728633812,"8,999 M",10/24/22
TDB972.CF,"TD Dividend Growth Fund - Investor Series - NL",104.64,0.57000000000001,0.0054770827327761,"8,999 M",10/24/22
TDB121.CF,"TD Dividend Growth Fund - Advisor Series - Lsc2",38.0012,0.2088,0.0055249203543569,"8,999 M",10/24/22
TDB756.CF,"TD Dividend Growth Fund - Advisor Series - ISC",38.0012,0.2088,0.0055249203543569,"8,999 M",10/24/22
TDB776.CF,"TD Dividend Growth Fund - Advisor Series - DSC",38.0012,0.2088,0.0055249203543569,"8,999 M",10/24/22
TDB796.CF,"TD Dividend Growth Fund - Advisor Series - Lsc",38.0012,0.2088,0.0055249203543569,"8,999 M",10/24/22
TDB856.CF,"TD Dividend Growth Fund - F Series - NL",39.65,0.23,0.0058346017250126,"8,999 M",10/24/22
TDB298.CF,"TD Dividend Growth Fund H8 Series - NL",9.87,0.059999999999999,0.0061162079510702,"8,999 M",10/24/22
TDB097.CF,"TD Dividend Growth Fund T8 Series - FE",9.7565,0.053600000000001,0.0055241216543509,"8,999 M",10/24/22
TDB098.CF,"TD Dividend Growth Fund T8 Series - DSC",9.7565,0.053600000000001,0.0055241216543509,"8,999 M",10/24/22
TDB099.CF,"TD Dividend Growth Fund T8 Series - Lsc",9.7565,0.053600000000001,0.0055241216543509,"8,999 M",10/24/22
TDB100.CF,"TD Dividend Growth Fund T8 Series - Lsc2",9.7565,0.053600000000001,0.0055241216543509,"8,999 M",10/24/22
TDB299.CF,"TD Dividend Growth Fund Ft8 Series - NL",10.99,0.06,0.0054894784995426,"8,999 M",10/24/22
TDB3088.CF,"TD Dividend Growth Fund - D Series - NL",15.02,0.09,0.0060281312793034,"8,999 M",10/24/22
TDB2926.CF,"TD Dividend Growth Fund- Premium Series NL",16.18,0.09,0.0055935363579863,"8,999 M",10/24/22
TDB2927.CF,"TD Dividend Growth Fund - Premium F Ser NL",16.31,0.09,0.0055487053020962,"8,999 M",10/24/22
PHN115.CF,"PH&N Bond Fund Series O - NL",8.7639,0.0191,0.0021841551550636,"8,861 M",10/24/22
RBF8115.CF,"PH&N Bond Fund Series O - NL",8.7639,0.0191,0.0021841551550636,"8,861 M",10/24/22
PHN716.CF,"PH&N Core Plus Bond Fund Series O - NL",8.4334,0.017700000000001,0.0021032118540349,"8,796 M",10/24/22
RBF8716.CF,"PH&N Core Plus Bond Fund Series O - NL",8.4334,0.017700000000001,0.0021032118540349,"8,796 M",10/24/22
TDB2443.CF,"TD Comfort Balanced Portfolio F - NL",10.3,0.050000000000001,0.0048780487804879,"8,763 M",10/24/22
TDB3539.CF,"TD Comfort Balanced Portfolio D Series - NL",10.69,0.049999999999999,0.0046992481203007,"8,763 M",10/24/22
TDB886.CF,"TD Comfort Balanced Portfolio Inv - NL",16.36,0.09,0.0055316533497234,"8,763 M",10/24/22
TDB3481.CF,"TD Tactical Monthly Income Fund - Ft5 Series - N",14.57,0.09,0.0062154696132597,"8,623 M",10/24/22
TDB2559.CF,"TD Tactical Monthly Income Fund Series K",12.92,0.07,0.0054474708171206,"8,623 M",10/24/22
TDB3043.CF,"TD Tactical Monthly Income Fund - D Series - NL",11.08,0.07,0.0063578564940963,"8,623 M",10/24/22
TDB2593.CF,"TD Tactical Monthly Income Fund -Premium NL",11.71,0.07,0.0060137457044674,"8,623 M",10/24/22
