Symbol,Name,Last,Change,% Change,Assets Under Management,Time
RBF8716.CF,PH&N Core Plus Bond Fund Series O - NL,8.9023,0.0249,0.002804875,"8,937 M",11/30/2022
TDB3481.CF,TD Tactical Monthly Income Fund - Ft5 Series - N,15.28,0.03,0.001967213,"8,915 M",11/30/2022
TDB2580.CF,TD Tactical Monthly Income Fund - Investor Ser -,13.18,0.05,0.003808073,"8,915 M",11/30/2022
TDB2581.CF,TD Tactical Monthly Income Fund Adv-ISc,13.1949,0.047,0.003574715,"8,915 M",11/30/2022
TDB2582.CF,TD Tactical Monthly Income Fund Adv-DSC,13.1949,0.047,0.003574715,"8,915 M",11/30/2022
TDB2583.CF,TD Tactical Monthly Income Fund Adv - Lsc,13.1949,0.047,0.003574715,"8,915 M",11/30/2022
TDB2584.CF,TD Tactical Monthly Income Fund Adv- Lsc2,13.1949,0.047,0.003574715,"8,915 M",11/30/2022
TDB2585.CF,TD Tactical Monthly Income Fund F Series - NL,14.36,0.05,0.00349406,"8,915 M",11/30/2022
TDB2586.CF,TD Tactical Monthly Income Fund H8 Series - NL,13.58,-0.02,-0.001470588,"8,915 M",11/30/2022
TDB2587.CF,TD Tactical Monthly Income Fund T8 Series - ISC,13.5706,-0.0162,-0.001192334,"8,915 M",11/30/2022
TDB2588.CF,TD Tactical Monthly Income Fund T8 Series - DSC,13.5706,-0.0162,-0.001192334,"8,915 M",11/30/2022
TDB2589.CF,TD Tactical Monthly Income Fund T8 Series - Lsc,13.5706,-0.0162,-0.001192334,"8,915 M",11/30/2022
TDB2590.CF,TD Tactical Monthly Income Fund T8 Series - Lsc2,13.5706,-0.0162,-0.001192334,"8,915 M",11/30/2022
TDB2591.CF,TD Tactical Monthly Income Fund Ft8 Series - NL,15.37,-0.02,-0.001299545,"8,915 M",11/30/2022
TDB2559.CF,TD Tactical Monthly Income Fund Series K,13.51,0.01,0.000740741,"8,915 M",11/30/2022
TDB3043.CF,TD Tactical Monthly Income Fund - D Series - NL,11.66,0.05,0.004306632,"8,915 M",11/30/2022
TDB2593.CF,TD Tactical Monthly Income Fund -Premium NL,12.31,0.04,0.003259984,"8,915 M",11/30/2022
TDB2594.CF,TD Tactical Monthly Income Fund-Prem F NL,13.4,0.05,0.003745318,"8,915 M",11/30/2022
TDB2443.CF,TD Comfort Balanced Portfolio F - NL,11.02,0.08,0.007312614,"8,853 M",11/30/2022
TDB3539.CF,TD Comfort Balanced Portfolio D Series - NL,11.44,0.09,0.007929515,"8,853 M",11/30/2022
TDB886.CF,TD Comfort Balanced Portfolio Inv - NL,17.48,0.13,0.007492795,"8,853 M",11/30/2022
RBF266.CF,RBC Canadian Dividend Fund Series A - NL,94.4868,0.5004,0.005324175,"8,672 M",11/30/2022
RBF405.CF,RBC Canadian Dividend Fund Series A U$ - NL,70.2425,1.0585,0.01529978,"8,672 M",11/30/2022
CIG15194.CF,CI Global Income & Growth Fund Class Ef,11.1685,0.0916,0.008269462,"8,577 M",11/30/2022
CIG90167.CF,CI Global Income & Growth Fund Class P,10.2601,0.0844,0.00829427,"8,577 M",11/30/2022
CIG90944.CF,CI Global Income & Growth Fund Series Pp,9.53,0.0785,0.00830556,"8,577 M",11/30/2022
CIG4944.CF,CI Global Income & Growth Fund Series Y,9.4748,0.0778,0.008279238,"8,577 M",11/30/2022
CIG1944.CF,CI Global Income & Growth Fund Series Z,9.4138,0.0769,0.008236138,"8,577 M",11/30/2022
CIG2944.CF,CI Global Income & Growth Fund Series Z,9.4138,0.0769,0.008236138,"8,577 M",11/30/2022
CIG3944.CF,CI Global Income & Growth Fund Series Z,9.4138,0.0769,0.008236138,"8,577 M",11/30/2022
CIG1111.CF,CI Global Income & Growth Fund Class A,9.6661,0.079,0.008240239,"8,577 M",11/30/2022
CIG2111.CF,CI Global Income & Growth Fund Class A,9.6661,0.079,0.008240239,"8,577 M",11/30/2022
CIG3111.CF,CI Global Income & Growth Fund Class A,9.6661,0.079,0.008240239,"8,577 M",11/30/2022
CIG4111.CF,CI Global Income & Growth Fund Class F,9.8005,0.0804,0.00827152,"8,577 M",11/30/2022
CIG5111.CF,CI Global Income & Growth Fund Class I,10.064,0.083,0.0083158,"8,577 M",11/30/2022
CIG16194.CF,CI Global Income & Growth Fund Class E,14.4583,0.1182,0.00824262,"8,577 M",11/30/2022
CIG18194.CF,CI Global Income & Growth Fund Class O,15.0194,0.1236,0.008297641,"8,577 M",11/30/2022
PHN115.CF,PH&N Bond Fund Series O - NL,9.2374,0.0258,0.002800816,"8,573 M",11/30/2022
RBF8115.CF,PH&N Bond Fund Series O - NL,9.2374,0.0258,0.002800816,"8,573 M",11/30/2022
TDB162.CF,TD Canadian Bond Fund - Investor Series - NL,12.31,0.03,0.002442997,"8,389 M",11/30/2022
TDB107.CF,TD Canadian Bond Fund - Advisor Series - Lsc2,10.7418,0.027,0.002519879,"8,389 M",11/30/2022
TDB306.CF,TD Canadian Bond Fund - Advisor Series - FE,10.7418,0.027,0.002519879,"8,389 M",11/30/2022
TDB336.CF,TD Canadian Bond Fund - Advisor Series - DSC,10.7418,0.027,0.002519879,"8,389 M",11/30/2022
TDB366.CF,TD Canadian Bond Fund - Advisor Series - LL,10.7418,0.027,0.002519879,"8,389 M",11/30/2022
TDB406.CF,TD Canadian Bond Fund Series F - NL,10.99,0.03,0.002737226,"8,389 M",11/30/2022
TDB2921.CF,TD Canadian Bond Fund - Premium F Ser NL,9.36,0.03,0.003215434,"8,389 M",11/30/2022
TDB3081.CF,TD Canadian Bond Fund - D Series - NL,8.99,0.02,0.002229654,"8,389 M",11/30/2022
TDB2002.CF,TD Canadian Bond Fund - Premium Series - NL,9.02,0.02,0.002222222,"8,389 M",11/30/2022
PHN385.CF,PH&N U.S. Multi-Style All-Cap Equity Fund O - NL,20.8171,0.3912,0.019152155,"8,179 M",11/30/2022
RBF8385.CF,PH&N U.S. Multi-Style All-Cap Equity Fund O - NL,20.8171,0.3912,0.019152155,"8,179 M",11/30/2022
PHN345.CF,PH&N Total Return Bond Fund Series O,10.2565,0.0293,0.002864909,"8,074 M",11/30/2022
RBF8345.CF,PH&N Total Return Bond Fund Series O,10.2565,0.0293,0.002864909,"8,074 M",11/30/2022
FID2204.CF,Fidelity Global Balanced Portfolio Series B - Is,14.6017,0.1113,0.007680947,"7,853 M",11/30/2022
TDB977.CF,TD U.S. Blue Chip Equity Fund - Investor Ser - N,55.66,2,0.037271711,"7,825 M",11/30/2022
TDB123.CF,TD U.S. Blue Chip Equity Fund - Lsc2,24.9087,0.8969,0.037352468,"7,825 M",11/30/2022
TDB310.CF,TD U.S. Blue Chip Equity Fund - FE,24.9087,0.8969,0.037352468,"7,825 M",11/30/2022
TDB340.CF,TD U.S. Blue Chip Equity Fund - DSC,24.9087,0.8969,0.037352468,"7,825 M",11/30/2022
TDB370.CF,TD U.S. Blue Chip Equity Fund - LL,24.9087,0.8969,0.037352468,"7,825 M",11/30/2022
TDB410.CF,TD U.S. Blue Chip Equity Fund Series F - NL,34.15,1.23,0.037363305,"7,825 M",11/30/2022
TDB3549.CF,TD U.S. Blue Chip Equity Fund H8 Series - NL,13.41,0.35,0.026799387,"7,825 M",11/30/2022
TDB3554.CF,TD U.S. Blue Chip Equity Fund Ft5 Series - NL,15.89,0.48,0.031148605,"7,825 M",11/30/2022
TDB3555.CF,TD U.S. Blue Chip Equity Fund Ft8 Series - NL,14.04,0.36,0.026315789,"7,825 M",11/30/2022
TDB3550.CF,TD U.S. Blue Chip Equity Fund T8 Series - ISC,13.3835,0.3456,0.026507336,"7,825 M",11/30/2022
TDB3091.CF,TD U.S. Blue Chip Equity Fund - D,19.4,0.7,0.037433155,"7,825 M",11/30/2022
RBF8417.CF,RBC Global Equity Focus Fund Series O U$ - NL,17.746,0.5806,0.033823855,"7,704 M",11/30/2022
PHN8077.CF,RBC Global Equity Focus Fund Series O,23.871,0.5518,0.023662904,"7,704 M",11/30/2022
PHN9077.CF,RBC Global Equity Focus Fund Series O,23.871,0.5518,0.023662904,"7,704 M",11/30/2022
RBF8077.CF,RBC Global Equity Focus Fund Series O - NL,23.871,0.5518,0.023662904,"7,704 M",11/30/2022
IGI156.CF,Iprofile Fixed Income Private Pool Series I - NL,10.9285,0.0003,2.75E-05,"7,575 M",11/30/2022
TDB3477.CF,TD Monthly Income Fund - Ft5 Series - NL,15.03,-0.01,-0.000664894,"7,550 M",11/30/2022
TDB622.CF,TD Monthly Income Fund - Investor Series - NL,24.55,0.07,0.002859477,"7,550 M",11/30/2022
TDB452.CF,TD Monthly Income Fund - F Series - NL,16.73,0.04,0.002396645,"7,550 M",11/30/2022
TDB398.CF,TD Monthly Income Fund - H8 Series - NL,11.2,-0.03,-0.002671416,"7,550 M",11/30/2022
TDB297.CF,TD Monthly Income Fund - T8 Series  - Lsc2,11.1755,-0.0354,-0.003157641,"7,550 M",11/30/2022
TDB395.CF,TD Monthly Income Fund - T8 Series - ISC,11.1755,-0.0354,-0.003157641,"7,550 M",11/30/2022
TDB396.CF,TD Monthly Income Fund - T8 Series - DSC,11.1755,-0.0354,-0.003157641,"7,550 M",11/30/2022
TDB397.CF,TD Monthly Income Fund - T8 Series - Lsc,11.1755,-0.0354,-0.003157641,"7,550 M",11/30/2022
TDB399.CF,TD Monthly Income Fund - Ft8 Series - NL,11.97,-0.04,-0.003330558,"7,550 M",11/30/2022
TDB113.CF,TD Monthly Income Fund - Advisor Series - Lsc2,23.1688,0.0683,0.002956646,"7,550 M",11/30/2022
TDB821.CF,TD Monthly Income Fund - Advisor Series - ISC,23.1688,0.0683,0.002956646,"7,550 M",11/30/2022
TDB831.CF,TD Monthly Income Fund - Advisor Series - DSC,23.1688,0.0683,0.002956646,"7,550 M",11/30/2022
TDB841.CF,TD Monthly Income Fund - Advisor Series - Lsc,23.1688,0.0683,0.002956646,"7,550 M",11/30/2022
TDB3085.CF,TD Monthly Income Fund - D Series - NL,12.72,0.04,0.003154574,"7,550 M",11/30/2022
TDB2444.CF,TD Comfort Balanced Growth Portfolio F - NL,11.21,0.1,0.0090009,"7,339 M",11/30/2022
TDB3540.CF,TD Comfort Balanced Growth Portfolio D Series -,11.74,0.12,0.010327022,"7,339 M",11/30/2022
TDB887.CF,TD Comfort Balanced Growth Portfolio Inv - NL,18.86,0.18,0.009635974,"7,339 M",11/30/2022
PHN255.CF,PH&N Short Term Bond & Mortgage Series O - NL,9.5359,0.0168,0.001764873,"7,181 M",11/30/2022
RBF8255.CF,PH&N Short Term Bond & Mortgage Series O - NL,9.5359,0.0168,0.001764873,"7,181 M",11/30/2022
CIF823.CF,Capital Group Global Equity Fund (Canada) F - NL,43.9738,0.7941,0.018390586,"6,882 M",11/30/2022
DJT07506.CF,Desjardins Canadian Bond Fund W Class,8.859,0.024,0.002716469,"6,619 M",11/30/2022
DJT07006.CF,Desjardins Canadian Bond Fund D Class,9.206,0.025,0.002723015,"6,619 M",11/30/2022
DJT03806.CF,Desjardins Canadian Bond Fund F Class - NL,9.25,0.025,0.002710027,"6,619 M",11/30/2022
DJT03006.CF,Desjardins Canadian Bond Fund C Class - FE,9.137,0.024,0.0026336,"6,619 M",11/30/2022
DJT03206.CF,Desjardins Canadian Bond Fund C Class - DSC,9.137,0.024,0.0026336,"6,619 M",11/30/2022
DJT03406.CF,Desjardins Canadian Bond Fund C Class - LL,9.137,0.024,0.0026336,"6,619 M",11/30/2022
DJT00606.CF,Desjardins Canadian Bond Fund I Class - NL,9.503,0.026,0.002743484,"6,619 M",11/30/2022
DJT00006.CF,Desjardins Canadian Bond Fund A Class - NL,5.045,0.013,0.002583466,"6,619 M",11/30/2022
PHN9074.CF,RBC European Equity Fund - O,25.4622,0.3087,0.012272646,"6,483 M",11/30/2022
RBF202.CF,RBC European Equity Fund Series O - NL,25.4622,0.3087,0.012272646,"6,483 M",11/30/2022
BTG770.CF,Beutel Goodman Canadian Equity Fund Class D - FE,45.0218,0.3131,0.007003111,"6,295 M",11/30/2022
TDB2928.CF,TD Canadian Equity Fund - Premium Series,16.27,0.08,0.004941322,"6,276 M",11/30/2022
TDB3089.CF,TD Canadian Equity Fund - D - NL,16.45,0.08,0.004886988,"6,276 M",11/30/2022
TDB161.CF,TD Canadian Equity Fund - Inv - NL,49.96,0.25,0.005029169,"6,276 M",11/30/2022
TDB117.CF,TD Canadian Equity Fund - Advisor Series - Lsc2,20.8255,0.1023,0.004936496,"6,276 M",11/30/2022
TDB308.CF,TD Canadian Equity Fund - Advisor Series - FE,20.8255,0.1023,0.004936496,"6,276 M",11/30/2022
TDB338.CF,TD Canadian Equity Fund - Advisor Series - DSC,20.8255,0.1023,0.004936496,"6,276 M",11/30/2022
TDB368.CF,TD Canadian Equity Fund - Advisor Series - LL,20.8255,0.1023,0.004936496,"6,276 M",11/30/2022
TDB408.CF,TD Canadian Equity Fund - F - NL,22.87,0.11,0.00483304,"6,276 M",11/30/2022
TDB3500.CF,TD Retirement Balanced Portfolio Ft8 Series - NL,12.37,-0.03,-0.002419355,"6,233 M",11/30/2022
TDB2760.CF,TD Retirement Balanced Portfolio Investor Ser -,17.99,0.09,0.005027933,"6,233 M",11/30/2022
TDB2761.CF,TD Retirement Balanced Portfolio Advisor Ser - I,17.9974,0.0968,0.00540764,"6,233 M",11/30/2022
TDB2762.CF,TD Retirement Balanced Portfolio Advisor Ser - D,17.9974,0.0968,0.00540764,"6,233 M",11/30/2022
TDB2763.CF,TD Retirement Balanced Portfolio Advisor Ser -Ls,17.9974,0.0968,0.00540764,"6,233 M",11/30/2022
TDB2764.CF,TD Retirement Balanced Portfolio Advisor Ser -Ls,17.9974,0.0968,0.00540764,"6,233 M",11/30/2022
TDB2765.CF,TD Retirement Balanced Portfolio F Series - NL,19.8,0.11,0.005586592,"6,233 M",11/30/2022
TDB2766.CF,TD Retirement Balanced Portfolio H5 Series - NL,11.7,0,0,"6,233 M",11/30/2022
TDB2767.CF,TD Retirement Balanced Portfolio T5 Series - ISC,11.73,0,0,"6,233 M",11/30/2022
TDB2768.CF,TD Retirement Balanced Portfolio T5 Series - DSC,11.73,0,0,"6,233 M",11/30/2022
TDB2769.CF,TD Retirement Balanced Portfolio T5 Series - Lsc,11.73,0,0,"6,233 M",11/30/2022
TDB2770.CF,TD Retirement Balanced Portfolio T5 Series - Lsc,11.73,0,0,"6,233 M",11/30/2022
TDB2771.CF,TD Retirement Balanced Portfolio Ft5 Series - NL,12.91,0,0,"6,233 M",11/30/2022
